REGON;RSPO;Nazwa placówki;Rodzaj placówki;Dzielnica;Adres placówki;Kod pocztowy;Telefony;E-mail;Dyrektor;Organ prowadzący;
36403335100000;130448;Publiczne Przedszkole Akademia Przedszkolaka;publiczna;Ujeścisko-Łostowice;Sosnkowskiego 3a/13 i 3b/7;80-041;"512 615 955
506 552 599";"oap@wp.pl;";Beata Podsadna;Beata Chlebińska-Gużel, Agata Ćwięk;
36403246900000;130441;Publiczne Przedszkole Bursztynowy Kompas;publiczna;Wrzeszcz Dolny;Aleja Legionów 11;80-441;"501 669 894
501 669 956 dyr.";"gdansk@familijny.pl;";Ewa Urbaniak;Fundacja Familijny Poznań;
36827876000000;264169;Publiczne Przedszkole Dziesiątka w Gdańsku;publiczna;Zaspa-Rozstaje;Konstantego Ciołkowskiego 10 ;80-463;58 346 62 98;"info@nasza-szkola.edu.pl;";Anna Faltyńska ;Ewa Majrowska ;
36825995100000;264082;Publiczne Przedszkole Gdańska Akademia Przedszkolaka;publiczna;Ujeścisko-Łostowice;Sosnkowskiego 1A/12 1B/7;80-034;;"oap@wp.pl;";Beata Podsadna;Beata Chlebińska-Gużel, Agata Ćwięk;
36404112600000;130464;Publiczne Przedszkole Językowo-Muzyczne Start w Gdańsku;publiczna;Kokoszki;Fundamentowa 8;80-298;58 349 50 52;"ppstart@wp.pl;";Katarzyna Perera ;Katarzyna Perera;
36523319300000;131545;Publiczne Przedszkole KidsLab;publiczna;Kokoszki;Azaliowa 14;80-177;505 102 909;"oliwiasz@tlen.pl; magdalena_grzonka@icloud.com;";Oliwa Słowińska;GATE Sp. z o.o.;
36403321000000;130447;Publiczne Przedszkole Kolorowe Gniazdko;publiczna;Osowa;Orfeusza 33/31;80-299;660 802 996           664 006 391;"przedszkole.kolorowegniazdko@wp.pl;";Iwona Nawrocka;Beata Stenka, Dariusz Stenka;
36403258700000;130442;Publiczne Przedszkole Krzyś;publiczna;Ujeścisko-Łostowice;"Konrada Guderskiego 1 B
Jaworzniaków 10";80-180;533 335 951;"gdansk@familijny.pl;";Ewa Urbaniak;Fundacja Familijny Poznań;
36403274200000;130443;Publiczne Przedszkole Leonardo;publiczna;Rudniki;Miałki Szlak 74;80-171;513 067 309;"gdansk@familijny.pl;";Marzena Bladowska;Fundacja Familijny Poznań;
36826274600000;264083;Publiczne Przedszkole Little Umbrella ;publiczna;Śródmieście;Toruńska 18 B/C;80-747;508 134 665;"biuro@littleumbrella.pl;";Krystyna Idzior;Little Umbrella Sp. z o. o. ;
36676981400000;133176;Publiczne Przedszkole Olimpijczyk w Gdańsku;publiczna;Ujeścisko-Łostowice;Kazimierza Porębskiego 4;80-180;535 405 805;"info@olimpijczyk.gda.pl; biuro@osowa.com.pl; dyrektor@olimpijczyk.gda.pl;";Lesya Szymczak;EDU KLUB Olimpijczyk Sp. z o. o. w Gdańsku;
36404125000000;130465;Publiczne Przedszkole Oruńska Akademia Przedszkolaka;publiczna;Chełm;Krzemowa 2;80-041;514 315 746;"oap@wp.pl;";Beata Podsadna;Beata Chlebińska-Gużel, Agata Ćwięk;
36403340500000;130439;Publiczne Przedszkole Perłowa Busola ;publiczna;Orunia-św. Wojciech-Lipce;Ubocze 3;80-052;533 335 951;"gdansk@familijny.pl;";Ewa Urbaniak;Fundacja Familijny Poznań;
36403229700000;130440;Publiczne Przedszkole Srebrna Kotwica;publiczna;Ujeścisko-Łostowice;Cedrowa 27 ;80-126;533 335 951;"gdansk@familijny.pl;";Ewa Urbaniak;Fundacja Familijny Poznań;
36403337400000;130438;Publiczne Przedszkole Tik Tak w Gdańsku;publiczna;Kokoszki;Gostyńska 8;80-178;516 080 862;"magdaryd@o2.pl; jola@sochaj.com;";Jolanta Szewczyk-Sochaj;Magdalena Rydzewska;
36504189000000;131220;Publiczne Przedszkole Trzynastka;publiczna;Zaspa Mlyniec;Startowa 9;80-461;58 556 58 00;"przedszkole13@autograf.pl;";Małgorzata Goyke;Małgorzata Goyke;
22177551400000;70632;Instytut Wspomagania Rozwoju Dziecka Przedszkole Specjalne dla Dzieci z Zaburzeniem Autystycznym;niepubliczna bez upr.publ.;Siedlce;Jacka Malczewskiego 139;80-114;58 341 44 41;"biuro@iwrd.pl;";Anna Budzińska;Fundacja-Instytut Wspomagania Rozwoju Dziecka ;
22195480800000;120011;Przedszkole dla Dzieci Niewidomych w Sobieszewie;niepubliczna bez upr.publ.;Wyspa Sobieszewska;Przegalińska 29;80-680;"58 323 94 22
58 308 06 30";"s.ida@laski.edu.pl;";Jolanta Burzyk;Towarzystwo Opieki nad Ociemniałymi Stowarzyszenie;
22195574200000;120041;Baśniowa Akademia Niepubliczny Punkt Przedszkolny;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Baśniowa 10;80-180;663 745 078;"aniaskowronka@wp.pl;";Anna Piernicka;Anna Piernicka ;
22175924800000;28882;Dwujęzyczny Przedszkolak;niepubliczna bez upr.publ.;Chełm;Worcella 44 A;80-809;58 309 93 92;"infinitylc@interia.pl;";Małgorzata Maryniak;Andrzej Maryniak ;
22215374300000;124685;Integracyjny Punkt Przedszkolny Dobry Start;niepubliczna bez upr.publ.;Zaspa Młyniec;Pilotów 19;80-460;784 352 233;"dobrystartprzedszkole@wp.pl;";Marzena Ryńska;Marzena Ryńska ;
36552578300000;132248;Integracyjny Punkt Przedszkolny Dobry Start - Gdańsk Wrzeszcz;niepubliczna bez upr.publ.;Wrzeszcz Górny;Biała 7;80-435;784 352 233;"pterapia@wp.pl;";Marzena Ryńska;Marzena Ryńska ;
22174857500000;19594;Klub Przedszkolaka Montessori;niepubliczna bez upr.publ.;Osowa;Parkingowa 2A;80-299;510 256 748;"jagoda.bukowska@gmail.com;";Jagoda Bukowska;Jagoda Bukowska;
22175910700000;28485;Kolorowy Punkt Przedszkolny w Matemblewie ;niepubliczna bez upr.publ.;Brętowo;Gustawa Herlinga-Grudzińskiego 2;80-283;507 224 460;"biuro@kolorowe.gda.pl;";Elżbieta Januszewska;Głos w Edukacji Fedyniak-Kołodziej i Wspólnicy Sp. J. ;
36540519700000;131993;Misiek Zdzisiek;niepubliczna bez upr.publ.;Jasień;Leszczynowa 60/1;80-175;516 658 423;"misiek.zdzisiek@outlook.com;";;Beata Marcinkowska, Dorota Szuchnicka;
22195309700000;119948;Niepubliczny Integracyjny Punkt Przedszkolny Mali Przyjaciele;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Warszawska 84 A;80-180;601 659 438;"biuro@maliprzyjaciele.edu.pl;";Iwona Kalinowska;Iwona Kalinowska ;
22173285800000;6647;Niepubliczny Punkt Przedszkolny EUREKA;niepubliczna bez upr.publ.;Chełm;gen. Kazmierza Sosnkowskiego 3;80-041;783 025 107;"przedszkole.eureka@wp.pl;";Agnieszka Lis;Zbigniew Pankowski ;
22184581200000;111718;Niepubliczny Punkt Przedszkolny Gdańska Kamieniczka Montessori;niepubliczna bez upr.publ.;Suchanino;Taborowa 5 c/4;80-171;508 145 260;"natalia.kaminska@wp.pl;";Natalia Kamińska;Natalia Kamińska ;
22177203600000;69180;Niepubliczny Punkt Przedszkolny Hula Hop;niepubliczna bez upr.publ.;VII Dwór;Piotra Michałowskiego 37;80-300;505 852 964;"info@hulahop.gda.pl;";Karolina Osmańska;Karolina Gintrowska ;
38140472000000;269222;Niepubliczny Punkt Przedszkolny Kraina Malucha;niepubliczna bez upr.publ.;Zaspa-Rozstaje;Żwirki i Wigury 8/1;80-464;577 400 611;"adam.kierznikiewicz@wp.pl;";Wieńczysław Mielewczyk;Izabela Kierznikiewicz ;
38129739300000;268938;Niepubliczny Punkt Przedszkolny Mali Przyjaciele nr 2;niepubliczna bez upr.publ.;Brętowo ;Matemblewska 1/17;80-283;601 659 438;"biuro@maliprzyjaciele.edu.pl;";Iwona Kalinowska;Iwona Kalinowska ;
22177547700000;70634;Niepubliczny Punkt Przedszkolny MiniMontessori;niepubliczna bez upr.publ.;Chełm;Anny Jagiellonki 34/1;80-180;790 805 105;"biuro.gem@gmail.com;";Dorota Ewelina Turowska;Dorota Ewelina Turowska ;
22175916500000;30494;Niepubliczny Punkt Przedszkolny Misiowy Raj;niepubliczna bez upr.publ.;Brętowo;Niedźwiednik 14;80-292;883 687 132;"misiowy.raj@wp.pl;";Iwona Poturaj;Iwona Poturaj ;
22177003700000;70622;Niepubliczny Punkt Przedszkolny Morenowy Porcik;niepubliczna bez upr.publ.;Piecki-Migowo;Krzysztofa Kolumba 6E;80-288;793 393 242;"morenowy.porcik@wp.pl;";Monika Bądkowska;Monika Bądkowska, Marek Latos;
38054469400000;267720;Niepubliczny Punkt Przedszkolny Morenowy Porcik II;;;Żylewicza 9a/30;80-288;"793 393 242
667 850 899";"morenowy.porcik@wp.pl;";Monika Bądkowska;Monika Bądkowska, Marek Latos;
22189852400000;115018;Niepubliczny Punkt Przedszkolny Smyk;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Warszawska 55 c;80-180;697 378 100;"bnadolska@smyk.gda.pl;";Barbara Nowak ;Barbara Nowak ;
22173916800000;12497;Niepubliczny Punkt Przedszkolny Sowa Zuzu;niepubliczna bez upr.publ.;Siedlce;Powstańców Warszawskich 63;80-165;535 585 215;"akademia@sowazuzu.pl;";Katarzyna Szymańska;Katarzyna Szymańska ;
38138640600000;269146;Niepubliczny Punkt Przedszkolny Szkrabolandia Duo;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Warszawska 129;80-180 ;600 003 443;"biuro@szkrabolandia.com.pl; ms.katy@wp.pl;";Katarzyna Kwasiborska;Katarzyna Kwasiborska ;
22174119400000;13973;Niepubliczny Punkt Przedszkolny Tygryskowa Kraina Magdalena Pyskło;niepubliczna bez upr.publ.;Piecki-Migowo;Myśliwska 65D/2;80-283;518 965 405;"tygryskowakraina@tlen.pl;";Magdalena Pyskło;Magdalena Pyskło ;
36056495600000;126596;Niepubliczny Punkt Przedszkolny Wesoły Promyczek;niepubliczna bez upr.publ.;Chełm;gen. Augusta Emila  Fieldorfa 13/5;80-041 ;504 184 669;"boz.mil@wp.pl;";Bożena Milczewska;Bożena Milczewska;
22177682100000;68268;Niepubliczny Punkt Przedszkolny Wzgórze Puchatka;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Kazmierza Porębskiego 50;80-180;535 566 656;"wzgorzepuchatka@onet.pl;";Karolina Marek ;Karolina Marek ;
36829337900000;264230;Psychologiczno-Artystyczny Punkt Przedszkolny Empatia;niepubliczna bez upr.publ.;Piecki-Migowo;Widok 34;80-288;506 688 323;"empatia.gdansk@gmail.com;";Kamila Widawska;Psychologiczno-Artystyczny Punkt Przedszkolny Empatia Sp. z o.o.;
38143497300000;269305;Punkt Przedszkolny Biały Kotek w Gdańsk;niepubliczna bez upr.publ.;;Syriusza 24;80-299;888 130 200;;;;
22177704500000;71900;Punkt Przedszkolny Centrum Zabawy przy Przedszkolu Niepublicznym Parkowe Wzgórze;niepubliczna bez upr.publ.;Chełm;3 Brygady Szczerbca 5;80-041;58 306 94 94;"przedszkole37gdansk@wp.pl;";Krystyna Kiełkiewicz;Krystyna Kiełkiewicz ;
22203891800000;122147;Punkt Przedszkolny Dinusie Joanna Krajewska;niepubliczna bez upr.publ.;Chełm;ul. Kazimierza Wielkiego 45/3;80-180;730 577 533;"joannacabaj7@wp.pl;";Joanna Krajewska;Joanna Krajewska ;
36839726800000;264621;Punkt Przedszkolny Lisa Rudosława;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Jaworzniaków 32;80-180;500 830 130;"info@lisrudoslaw.pl; annabartnicka@wp.pl;";Anna Bartnicka;Anna Bartnicka;
22174169100000;14411;Punkt Przedszkolny Mali Odkrywcy;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Piotrkowska 39B;80-180;605 166 473;"pakaprzedszkolaka@o2.pl;";Magdalena Pniewska;Magdalena Pniewska ;
36056464300000;126595;Punkt Przedszkolny Małe Lwy;niepubliczna bez upr.publ.;Zaspa Rozstaje ;Janusza Meissnera 13;80-462;505 050 850;"przedszkole@male-lwy.pl;";Hanna Semkło;Agnieszka Wiśniewska i Hanna Semkło ;
36829409000000;264239;Punkt Przedszkolny Małe Lwy Jasień;niepubliczna bez upr.publ.;Ujeścisko-Łostowice;Guderskiego 60;80-180;505 050 850         696 644 611;"przedszkole@male-lwy.pl;";Hanna Semkło;Hanna Semkło, Agnieszka Wiśniewska;
38143498000000;269307;Punkt Przedszkolny Montessori Słowiańska Wieża;niepubliczna bez upr.publ.;;Obrońców Wybrzeża 23/20;;690 587 663;"slowianskawieza@gmail.com;";Maria Kossak;Słowiańska Wieża Sp. z o.o.;
22177177500000;68279;Punkt Przedszkolny Olusia;niepubliczna bez upr.publ.;Kokoszki;Borówkowa 10;80-177;607 300 478;"aniaramczyk@o2.pl;";Anna Ramczyk;Anna Ramczyk - Wójcik;
36264955600000;129519;Punkt Przedszkolny Pegaz;niepubliczna bez upr.publ.;Siedlce;Powstańców Warszawskich 71;80-159;"668 370 482
533 287 007";"zarzad@pegaz.la; kmadej@pegaz.la;";Marta Umińska;Pegaz.la Sp. z o.o.;
22216290800000;125181;Punkt Przedszkolny Smerfikowa Chatka;niepubliczna bez upr.publ.;Przymorze Małe;Rzepichy 4;80-353;512 113 559;"smerfikowachatka@o2.pl;";Beata Lewkowicz;Beata Lewkowicz ;
22174909500000;19746;Punkt Przedszkolny SOTIS;niepubliczna bez upr.publ.;Strzyża;Mikołaja Gomółki 11/13;80-279;603 595 710;"gdansk@sotis.pl;";Anna Czarnecka ;Sotis Sp. z o.o. ;
22174851700000;19512;Punkt Przedszkolny SZKRABOLANDIA;niepubliczna bez upr.publ.;Ujeścisko-Łostowice ;Warszawska 151;80-180;600 003 443;"biuro@szkrabolandia.com.pl; ms.katy@wp.pl;";Katarzyna Kwasiborska;Katarzyna Kwasiborska ;
22174912600000;19880;Zatoka Zabawy Niepubliczny Punkt Przedszkolny;niepubliczna bez upr.publ.;Orunia-św. Wojciech-Lipce;Trakt Św. Wojciecha 223/225;80-017;500 152 038;"przedszkolezielonomi@wp.pl; zielonomi.net@wp.pl;";Dagmara Grudzińska;Zielono Mi Sp. z o.o. ;
36407395900000;130469;Publiczny Integracyjny Punkt Przedszkolny - Akademia Małego Europejczyka im. św. Jana Pawła II w Gdańsku;publiczna;Olszynka;Dworkowa 11;80-774;725 135 302;"maly.europejczyk@wp.pl;";Wieńczysław Mielewczyk;Wieńczysław Mielewczyk, Paweł Chmielowiec;
36407404800000;130470;Publiczny Punkt Przedszkolny Domek Sąsiedzki w Gdańsku;publiczna;Orunia-św. Wojciech-Lipce;Gościnna 14;80-032;58 304 99 56 wew. 24;"biuro@gfis.pl; m.urbanowicz@gfis.pl;";Magdalena Urbanowicz;Gdańska Fundacja Innowacji Społecznej ;
22177558900000;70629;Gdańskie Okienka Przedszkolne;niepubliczna bez upr.publ.;Stogi;Wilhelma Stryjewskiego 28;80-620;58 307 30 61 ;"lukasz_gda@wp.pl;";Maria Jolanta Bemben;Gdańskie Stowarzyszenie Pedagogów Praktyków ;
36806518700000;262874;Akademicka Szkoła Podstawowa Magellanum w Gdańsku;niepubliczna z upr.publ.;Wrzeszcz Dolny;"Aleja Legionów 13 A
biuro: B. Chrobrego 36A/13";"80-444
80-423";691058490;"magellanum@magellanum.edu.pl; sekretariat@magellanum.edu.pl;";Katarzyna Turowska-Zakrzewicz;Magellanum Sp. z o.o.;
22178237100000;71958;British International School Gdańsk - Szkoła Podstawowa;niepubliczna z upr.publ.;Przymorze Wielkie;Tysiąclecia 29;80-351;58 342 26 00;"office@bisg.edu.pl;";Robert Grisdale;British International School PL Sp. z o. o. ;
22197561500000;120645;Chrześcijańska Szkoła Montessori;niepubliczna z upr.publ.;Przymorze Wielkie;Jagiellońska 5;80-371;587 316 634;"kontakt@montessori.gda.pl;";Beata Szulc;Chrześcijańska Fundacja Edukacji Montessori CHCEMY ;
36820049000000;263516;Chrześcijańska Szkoła Montessori Nr 2;niepubliczna z upr.publ.;Ujeścisko-Łostowice ;Kozacza Góra 74;80-180;587 316 634;"maciej.szulc@montessori.gda.pl; sekretariat2@montessori.gda.pl;";Mariusz Niewiarowski;Chrześcijańska Fundacja Edukacji Montessori CHCEMY ;
22178349400000;86063;Elementary International School of Gdansk/Międzynarodowa Szkoła Podstawowa w Gdańsku;niepubliczna z upr.publ.;Letnica;Sucha 29;80-531;58 342 40 55;"isg@gfo.pl;";Agata Kożuszek;Gdańska Fundacja Oświatowa ;
22176406000000;30613;Fregata Szkoła Podstawowa dla Chłopców;niepubliczna z upr.publ.;Oliwa;Cystersów 13;80-330;58 342 71 65;"piotr.bednarski@fregata.edu.pl; skwer@skwer.org.pl;";Piotr Sznajderowicz;Stowarzyszenie Kulturalne Wspierania Edukacji i Rozwoju ;
22194924000000;119762;FREGATA Szkoła Podstawowa dla Dziewcząt;niepubliczna z upr.publ.;Oliwa;Cystersów 13;80-330;"58 342 71 65
512 149 030";"fregata@fregata.edu.pl;";Katarzyna Przybył-Tamowicz;Stowarzyszenie Kulturalne Wspierania Edukacji i Rozwoju ;
22177892600000;81749;Gdańska Szkoła Podstawowa;niepubliczna z upr.publ.;Orunia-św. Wojciech-Lipce;Małomiejska 58 ;80-037;58 346 39 66;"glogda@wp.pl;";Magdalena Soliwoda;Stowarzyszenie Przyjaciół Gdańskiego Liceum Ogólnokształcącego ;
36806774300000;262904;Gdańska Szkoła Podstawowa Lingwista im. Hymnu Narodowgo ;niepubliczna z upr.publ.;Siedlce;Jacka Malczewskiego 51 ;80-107;58 303 30 30;"gimnazjum@oswiatalingwista.eu;";Małgorzata Stępniak;Oświata Lingwista Nadbałtyckie Centrum Edukacji Sp. z o. o. ;
22177661400000;66313;Gdańska Szkoła Podstawowa Lingwista im. Zjednoczonej Europy;niepubliczna z upr.publ.;Śródmieście;Św. Barbary 1;80-753;58 301 43 27;"gsp@szkola.gda.pl; gsp@oswiatalingwista.eu;";Monika Cora;Oświata Lingwista Nadbałtyckie Centrum Edukacji Sp. z o. o. ;
22178273800000;85999;Gdańskie Szkoły Autonomiczne Gdańska Autonomiczna Szkoła Podstawowa;niepubliczna z upr.publ.;Śródmieście;Osiek 11;80-842;58 320 37 76;"gasp@gfo.pl;";Joanna Burandt;Gdańska Fundacja Oświatowa ;
22178299700000;86148;I Społeczna Szkoła Podstawowa Społecznego Towarzystwa Oświatowego;niepubliczna z upr.publ.;Oliwa;Polanki 11 ;80-308;58 552 43 61;"polanki.sto@gmail.com;";Hanna Sempka;Samodzielne Koło Terenowe Nr 9 Społecznego Towarzystwa Oświatowego ;
22178283300000;86125;II Społeczna Szkoła Podstawowa Społecznego Towarzystwa Oświatowego;niepubliczna z upr.publ.;Siedlce;Kartuska 245 ;80-125;58 302 68 74;"2ssp@sto2.com.pl;";Marek Grąziewicz;Samodzielne Koło Terenowe Nr 200 Społecznego Towarzystwa Oświatowego ;
22178151000000;86458;III Społeczna Szkoła Podstawowa Społecznego Towarzystwa Oświatowego;niepubliczna z upr.publ.;Wrzeszcz Dolny;Ludwika Waryńskiego 36 ;80-433;58 341 70 25;"sto3gdansk@sto3.gda.pl;";Jolanta Zabrocka;Samodzielne Koło Terenowe Nr 191 Społecznego Towarzystwa Oświatowego ;
36806773700000;262900;Katolicka Szkoła Podstawowa im. Swiętego Wojciecha w Gdańsku ;niepubliczna z upr.publ.;Piecki-Migowo;Piecewska 9;80-288;58 345 82 74;"sekretariat@szkolywojciecha.pl;";Joanna Sidorowicz;Stowarzyszenie Rodzin Katolickich w Archidiecezji Gdańskiej ;
22175920200000;28757;Niepubliczna Polsko-Brytyjska Szkoła Podstawowa Nr 1 ;niepubliczna z upr.publ.;Chełm;Stanisława Worcella 44 /a;80-809;793 605 613;"infinitylc@interia.pl;";Małgorzata Maryniak;Andrzej Maryniak ;
22177643600000;79859;Niepubliczna Szkoła Podstawowa Nasza Szkoła;niepubliczna z upr.publ.;Zaspa Rozstaje ;Konstantego Ciołkowskiego 10 ;80-463;58 346 62 98;"info@nasza-szkola.edu.pl;";Ewa Majrowska;Ewa Majrowska ;
22177655400000;66309;Niepubliczna Szkoła Podstawowa Sokrates;niepubliczna z upr.publ.;Siedlce;Zakopiańska 37a;80-142;58 320 13 00;"gdansk@szkolasokrates.pl;";Joanna Kopeć;O'Chikara M. Kwiatkowski i D. Kowalski Sp. J. ;
36806540200000;262876;Niepubliczna Szkoła Podstawowa Thinking Zone w Gdańsku ;niepubliczna z upr.publ.;Oliwa;ul. Grunwaldzka 472 b;80-309;509 342 346;"info@thinkingzone.pl; agata.marjanska@thinkingzone.pl;";Agata Marjańska;Fundacja Thinking Zone;
22177740100000;80448;Niepubliczna Szkoła Podstawowa z Oddziałami Dwujęzycznymi Happy Kids Osowa;niepubliczna z upr.publ.;Osowa;"Oriona 1
Nowy Świat 7 A";80-299;601 568 847;"dyrektor@happykidsosowa.pl;";Anna Butkiewicz;Anna Butkiewicz i Sylwia Kajkowska-Bykowska ;
22176400200000;41069;Podstawowa Szkoła Gedanensis ;niepubliczna z upr.publ.;Brzeźno;Dworska 34;80-506;58 320 56 74;"szkola@gedanensis.edu.pl;";Joachim Szyc;Stowarzyszenie Szkoły Gedanensis ;
22176963700000;43412;Podstawowa Szkoła Społeczna Niedźwiednik ;niepubliczna z upr.publ.;Brętowo;Juliusza Słowackiego 83 ;80-257;58 342 53 73;"pssniedz@wp.pl;";Joanna Rogowska ;Towarzystwo Szkolne Leśna Góra ;
36097634000000;126944;Szkoła Podstawowa Akademii Dobrej Edukacji im. Macieja Płażyńskiego;niepubliczna z upr.publ.;Żabianka-Wejhera-Jelitkowo-Tysiąclecia;Chłopska 64;80-350;609 916 501;"ade.gdansk@dobraedukacja.edu.pl;";Katarzyna Hall;Stowarzyszenie Dobra Edukacja ;
36534407600000;131758;Szkoła Podstawowa BE MONTESSORI SCHOOL GDAŃSK;niepubliczna z upr.publ.;Suchanino;Schuberta 79;80-172;790 805 105;"biuro@bemontessori.pl; biuro.gem@gmail.com;";Dorota Turowska;Katarzyna Szymańska, Dorota Turowska;
22178341300000;86264;Szkoła Podstawowa im. Św. Jana de la Salle;niepubliczna z upr.publ.;Brętowo;Juliusza Słowackiego 101 ;80-281;58 342 59 15;"bracia@lasalle.gda.pl;";Janusz Robionek;Zgromadzenie Braci Szkół Chrześcijańskich ;
36833798700000;264420;Szkoła Podstawowa Programów Indywidualnych w Gdańsku;niepubliczna z upr.publ.;Oliwa;Polanki 124 ;80-308;58 552 41 88;"liceum@olpi.gda.pl;";Piotr Bogdanowicz;OLPI Sp. z o.o. ;
22178294500000;86270;Szkoła Podstawowa przy Parafii Św. Kazimierza;niepubliczna z upr.publ.;Zaspa Młyniec;Pilotów 1 ;80-460;58 556 93 35;"kaziuki@kaziuki.pl;";Krzysztof Mudlaff;Parafia Rzymskokatolicka pw. św. Kazimierza Królewicza;
22216273600000;125174;Szkoła Podstawowa Towarzystwa Edukacyjnego Vizja;niepubliczna z upr.publ.;Piecki-Migowo;Piekarnicza 16 B;80-126;609 399 009;"gdansk@tevizja.pl;";Grzegorz Stanio;Towarzystwo Edukacyjne Vizja Sp. z o. o. ;
36807251400000;262911;Niepubliczna Szkoła Podstawowa Mistrzostwa Sportowego Gdańskiego Klubu Sportowego Gedania 1922;niepubliczna z upr.publ.;Wrzeszcz Dolny;ul. Wrzeszczńska 29;80-416;697 013 339 dyr.;"sms@gedania1922.pl;";Marcin Jędryczka;Gdański Klub Sportowy Gedania 1922 ;
36828657000000;264209;Niepubliczna Szkoła Podstawowa Mistrzostwa Sportowego Marcina Gortata w Gdańsku;niepubliczna z upr.publ.;Zaspa Rozstaje;Janusza Meissnera 9;80-462;883 261 313;"sekretariatgdansk@szkolagortata.pl; adrian.lis@szkolagortata.pl;";Adrian Lis;MG 13 Sp. z o.o.;
36807249000000;262910;Atut Lider Kształcenia Szkoła Podstawowa dla Dorosłych w Gdańsku;niepubliczna z upr.publ.;Młyniska/Śródmieście;Rajska 4E/14(sekretariat)         Topolowa 7 (zajęcia);80-850       80-255;"58 380 17 56
533 404 491";"gdansk@atutszkola.pl;";Elżbieta Sawicka;DRENIA GD Sp. z o.o.;
38142188700000;269263;PROFESJA Szkoła Podstawowa dla Dorosłych w Gdańsku;niepubliczna z upr.publ.;Nowy Port;"Heweliusza 11 (sekretariat)
Wyzwolenia 8 (zajęcia)";80-537;724-466-305;"sp.vertica@gmail.com;";Aleksandra Porożyńska;Vertiica Sp. z.o.o.;
38096338500000;268136;Niepubliczna Podstawowa Szkoła Specjalna;niepubliczna z upr.publ.;Przymorze;Jagielońska 11;80-371;58 553 02 61;"sekretariat@psoni.gda.pl; biuro.edukacja@psoni.gda.pl;";Katarzyna Joanna Świeczkowska;Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Gdańsku;
36534779000000;131786;Morska Szkoła Podstawowa w Gdańsku;publiczna;Ujeścisko-Łostowice;Rogalińska 17;80-809;"601 439 532 sek. 
728 344 470 dyr.";"biuro@morskaszkola.pl;";Justyna Januszewska;Monika Gierszon ;
22214201800000;124084;Pozytywna Szkoła Podstawowa w Gdańsku;publiczna;Kokoszki;Azaliowa 18;80-177;"604 420 063
601 748 778 dyr. ";"azaliowa@pozytywneinicjatywy.pl;";Sebastian Krawczyk;Pozytywne Inicjatywy-Edukacja Sp. z o.o. w Pucku ;
36655826000000;133053;Publiczna Szkoła Podstawowa Olimpijczyk w Gdańsku z oddziałami sportowymi ;publiczna;Ujeścisko-Łostowice;Kazimierza Porębskiego 4;80-180;535 405 805;"info@olimpijczyk.gda.pl; biuro@osowa.com.pl; dyrektor@olimpijczyk.gda.pl;";Dariusz Kruczkowski;EDU KLUB Olimpijczyk Sp. z o. o. w Gdańsku;
22173498100000;5981;Szkoła Podstawowa Nr 29 w Gdańsku;publiczna;Rudniki;Miałki Szlak 74;80-717;"513 067 309 sek.
533 335 951";"sp29@familijny.pl; s.buda@familijny.pl; ";Teresa Górzyńska-Frask;Fundacja Familijny Poznań ;
22215331200000;124660;NOVA Gimnazjum dla Dorosłych w Gdańsku;niepubliczna z upr.publ.;Siedlce/Śródmieście;"Kartuska 128
biuro: ul. Długa 70/71";"80-136
80-831";58 320 56 66;"gdansk@nova.edu.pl;";Ilona Jankowska;Nova Centrum Edukacyjne Sp. z o. o. ;
22178037200000;81753;Gdańskie Gimnazjum;niepubliczna z upr.publ.;Orunia-św. Wojciech-Lipce;Małomiejska 58 ;80-037;58 346 39 66;"glogda@wp.pl;";Magdalena Soliwoda;Stowarzyszenie Przyjaciół Gdańskiego Liceum Ogólnokształcącego ;
22178284000000;86001;Gdańskie Szkoły Autonomiczne Gdańskie Autonomiczne Gimnazjum;niepubliczna z upr.publ.;Śródmieście;Osiek 11/12;80-842;58 301 48 81;"gag@gfo.pl;";Paweł Andrzejczuk;Gdańska Fundacja Oświatowa ;
22195318600000;119952;Gimnazjum Akademii Dobrej Edukacji im. Macieja Płażyńskiego ;niepubliczna z upr.publ.;Żabianka-Wejhera-Jelitkowo-Tysiąclecia;Chłopska 64;80-350;609 916 501;"ade.gdansk@dobraedukacja.edu.pl;";Anna Florek;Stowarzyszenie Dobra Edukacja ;
22176405400000;41071;Gimnazjum Gedanensis;niepubliczna z upr.publ.;Brzeźno;Dworska 34;80-506;58 320 56 74;"szkola@gedanensis.edu.pl;";Joachim Szyc;Stowarzyszenie Szkoły Gedanensis ;
22178291600000;86260;Gimnazjum im. św. Jana de La Salle;niepubliczna z upr.publ.;Brętowo;Juliusza Słowackiego 101 ;80-281;58 342 59 15;"bracia@lasalle.gda.pl;";Janusz Robionek;Zgromadzenie Braci Szkół Chrześcijańskich ;
